date,virus_batch,library,sample_type,antibody,antibody_concentration,replicate,fastq_R1,exclude_after_counts,notes
2021-10-28,thaw-1,Lib-1,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A51_1_S1_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-1,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A51_2_S2_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-3,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A72_1_S3_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-3,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_A72_2_S4_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-4,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B72_1_S7_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-4,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B72_2_S8_R1_001.fastq.gz,,VSVG_rep2
2021-10-28,thaw-1,Lib-2,VSVG_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B1_1_S5_R1_001.fastq.gz,,VSVG_rep1
2021-10-28,thaw-1,Lib-2,VSVG_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211104_D00300_1362_BHN3N2BCX3/Unaligned/Project_bdadonai/Library_B1_2_S6_R1_001.fastq.gz,,VSVG_rep2
2021-12-14,thaw-1,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/A51_rep1_REG10933_Rep1_NA_S29_R1_001.fastq.gz,,
2021-12-14,thaw-1,Lib-1,no-antibody_control,,,2,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/211216_VH00699_31_AAANJ2LM5/Unaligned/Project_bdadonai/A51_rep1_REG10933_Rep2_NA_S30_R1_001.fastq.gz,,
