biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename
SAMN31230628	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_0.15_2	Delta spike Illumina barcode sequencing for sample 2022-02-10a_thaw-3_antibody_REGN10933_0.15_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_0.15_2.fastq.gz
SAMN31230628	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_1.39_2	Delta spike Illumina barcode sequencing for sample 2022-02-10a_thaw-3_antibody_REGN10933_1.39_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_1.39_2.fastq.gz
SAMN31230628	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_5.58_2	Delta spike Illumina barcode sequencing for sample 2022-02-10a_thaw-3_antibody_REGN10933_5.58_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10a_thaw-3_antibody_REGN10933_5.58_2.fastq.gz
SAMN31230628	Lib-1_2022-02-10a_thaw-3_no-antibody_control_none_none_2	Delta spike Illumina barcode sequencing for sample 2022-02-10a_thaw-3_no-antibody_control_none_none_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10a_thaw-3_no-antibody_control_none_none_2.fastq.gz
SAMN31230628	Lib-1_2022-02-10b_thaw-3_no-antibody_control_none_none_1	Delta spike Illumina barcode sequencing for sample 2022-02-10b_thaw-3_no-antibody_control_none_none_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10b_thaw-3_no-antibody_control_none_none_1.fastq.gz
SAMN31230628	Lib-1_2022-02-10b_thaw-3_no-antibody_control_none_none_2	Delta spike Illumina barcode sequencing for sample 2022-02-10b_thaw-3_no-antibody_control_none_none_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10b_thaw-3_no-antibody_control_none_none_2.fastq.gz
SAMN31230628	Lib-1_2022-02-10c_thaw-3_no-antibody_control_none_none_1	Delta spike Illumina barcode sequencing for sample 2022-02-10c_thaw-3_no-antibody_control_none_none_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10c_thaw-3_no-antibody_control_none_none_1.fastq.gz
SAMN31230628	Lib-1_2022-02-10c_thaw-3_no-antibody_control_none_none_2	Delta spike Illumina barcode sequencing for sample 2022-02-10c_thaw-3_no-antibody_control_none_none_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-02-10c_thaw-3_no-antibody_control_none_none_2.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_0.15_1	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_0.15_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_0.15_1.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_1.39_1	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_1.39_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_1.39_1.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_5.58_1	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_5.58_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_5.58_1.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_0.15_2	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_0.15_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_0.15_2.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_1.39_2	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_1.39_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_1.39_2.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_5.58_2	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_antibody_REGN10933_5.58_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_antibody_REGN10933_5.58_2.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_no-antibody_control_none_none_1	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_no-antibody_control_none_none_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_no-antibody_control_none_none_1.fastq.gz
SAMN31230628	Lib-2_2022-03-02_thaw-3_no-antibody_control_none_none_2	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_no-antibody_control_none_none_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-2_2022-03-02_thaw-3_no-antibody_control_none_none_2.fastq.gz
SAMN31230628	Lib-1_2022-03-02_thaw-3_no-antibody_control_none_none_2	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_no-antibody_control_none_none_2	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-03-02_thaw-3_no-antibody_control_none_none_2.fastq.gz
SAMN31230628	Lib-1_2022-03-02_thaw-3_no-antibody_control_none_none_1	Delta spike Illumina barcode sequencing for sample 2022-03-02_thaw-3_no-antibody_control_none_none_1	AMPLICON	SYNTHETIC	PCR	single	ILLUMINA	Illumina HiSeq 2500	Illumina barcode sequencing Delta spike	fastq	Lib-1_2022-03-02_thaw-3_no-antibody_control_none_none_1.fastq.gz
